X,Y,Z
-66.89576174112257,26.918671248568156,-41.600000000000016
-69.0721649484536,31.500572737686138,-41.600000000000016
-67.81214203894616,32.302405498281786,-43.20000000000002
-70.2176403207331,33.21878579610538,-43.20000000000002
-69.5303550973654,34.593356242840784,-44.80000000000002
-71.8213058419244,33.906071019473075,-44.80000000000002
-71.47766323024055,35.50973654066436,-46.40000000000002
-72.85223367697594,33.56242840778923,-46.40000000000002
-74.22680412371133,34.593356242840784,-48.00000000000002
-73.76861397479954,32.18785796105384,-48.00000000000002
-75.48682703321879,32.64604810996563,-49.60000000000002
-73.53951890034364,30.698739977090494,-49.60000000000002
-75.14318442153494,29.782359679266893,-49.60000000000002
-70.2176403207331,23.482245131729666,-49.60000000000002
-71.8213058419244,22.565864833906073,-49.60000000000002
-69.3012600229095,20.61855670103093,-49.60000000000002
-71.01947308132875,19.931271477663227,-51.200000000000024
-68.72852233676976,14.318442153493702,-51.200000000000024
-70.56128293241696,14.66208476517755,-52.800000000000026
-69.18671248568155,11.454753722794958,-52.800000000000026
-70.9049255441008,12.027491408934711,-54.40000000000003
-70.10309278350516,8.591065292096221,-54.40000000000003
-71.70675830469645,9.392898052691866,-56.00000000000003
-73.65406643757159,3.780068728522341,-56.00000000000003
-74.68499427262313,5.040091638029782,-56.00000000000003
-79.38144329896907,1.2600229095074447,-56.00000000000003
-80.06872852233677,2.8636884306987405,-56.00000000000003
-82.81786941580756,1.1454753722794955,-56.00000000000003
-82.9324169530355,2.7491408934707913,-57.60000000000003
-90.14891179839634,-2.1764032073310418,-57.60000000000003
-96.21993127147766,1.0309278350515463,-57.60000000000003
-93.35624284077892,2.290950744558991,-57.60000000000003
-98.05269186712485,5.269186712485681,-57.60000000000003
-100.0,10.996563573883162,-57.60000000000003
-97.13631156930126,15.120274914089347,-57.60000000000003
-96.90721649484536,9.392898052691866,-57.60000000000003
-92.66895761741122,6.30011454753723,-57.60000000000003
-92.09621993127148,7.78923253150057,-59.20000000000003
-95.418098510882,9.621993127147764,-59.20000000000003
-89.11798396334478,10.996563573883162,-59.20000000000003
-83.39060710194731,7.331042382588773,-59.20000000000003
-79.03780068728523,11.454753722794958,-59.20000000000003
-78.92325315005728,17.411225658648338,-59.20000000000003
-85.2233676975945,34.36426116838487,-59.20000000000003
-83.04696449026346,43.8717067583047,-59.20000000000003
-85.9106529209622,49.71363115693012,-59.20000000000003
-81.67239404352806,54.86827033218785,-59.20000000000003
-72.39404352806415,54.98281786941581,-59.20000000000003
-80.18327605956472,49.71363115693012,-59.20000000000003
-75.71592210767469,46.73539518900343,-59.20000000000003
-69.7594501718213,47.079037800687274,-59.20000000000003
-70.33218785796106,51.66093928980527,-59.20000000000003
-66.09392898052693,54.86827033218785,-59.20000000000003
-57.5028636884307,54.98281786941581,-59.20000000000003
-65.06300114547537,48.56815578465063,-59.20000000000003
-60.25200458190149,42.268041237113394,-59.20000000000003
-54.52462772050401,22.222222222222218,-59.20000000000003
-49.36998854524628,18.785796105383735,-59.20000000000003
-46.620847651775485,21.534936998854523,-59.20000000000003
-47.19358533791524,27.7205040091638,-59.20000000000003
-45.70446735395189,27.9495990836197,-59.20000000000003
-43.29896907216495,39.0607101947308,-59.20000000000003
-36.88430698739977,46.50630011454753,-59.20000000000003
-38.373424971363114,49.71363115693012,-59.20000000000003
-34.478808705612835,54.75372279495991,-59.20000000000003
-24.97136311569301,54.98281786941581,-59.20000000000003
-32.64604810996563,49.59908361970217,-59.20000000000003
-23.36769759450172,46.39175257731958,-59.20000000000003
-19.587628865979383,54.63917525773195,-59.20000000000003
-10.19473081328752,54.98281786941581,-59.20000000000003
-15.2348224513173,52.348224513172966,-59.20000000000003
-18.213058419243993,47.53722794959907,-59.20000000000003
-12.829324169530366,29.324169530355096,-59.20000000000003
-22.565864833906076,8.132875143184425,-59.20000000000003
-18.44215349369989,8.018327605956475,-59.20000000000003
-14.662084765177553,13.74570446735395,-59.20000000000003
-9.965635738831622,14.089347079037797,-59.20000000000003
-8.018327605956472,11.340206185567009,-59.20000000000003
-11.225658648339063,10.882016036655212,-59.20000000000003
-11.569301260022911,6.30011454753723,-59.20000000000003
-14.662084765177553,3.5509736540664427,-59.20000000000003
-6.414662084765183,5.956471935853376,-59.20000000000003
-6.529209621993132,8.361970217640323,-59.20000000000003
-3.6655211912943884,5.956471935853376,-59.20000000000003
-3.6655211912943884,8.018327605956475,-60.80000000000003
-0.5727376861397602,5.040091638029782,-60.80000000000003
0.0,0.0,-60.80000000000003
